v1,v2
ham,Shhhhh nobody is supposed to know!
ham,"Sorry, I'll call later"
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
ham,S..antha num corrct dane
ham,No calls..messages..missed calls
ham,"Sorry, I'll call later"
ham,The basket's gettin full so I might be by tonight
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
ham,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!
ham,Eh den sat u book e kb liao huh...
ham,Have you been practising your curtsey?
ham,Shall i come to get pickle
ham,Lol boo I was hoping for a laugh
ham,\YEH I AM DEF UP4 SOMETHING SAT
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,Hi! This is Roger from CL. How are you?
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
